sec	CH1	CH40	CH41	
0.588	-0.0305176	0.022699	0	
0.59	-0.0341797	0.0229187	0	
0.592	-0.0311279	0.0231018	0	
0.594	-0.0146484	0.0230469	0	
0.596	-0.0219727	0.0231934	0	
0.598	-0.0317383	0.0234497	0	
0.6	-0.0311279	0.0235718	0	
0.602	0.0268555	0.0232727	0	
0.604	0.00793457	0.0233215	0	
0.606	-0.0250244	0.0233765	0	
0.608	-0.010376	0.023407	0	
0.61	-0.00793457	0.0230713	0	
0.612	-0.0262451	0.02323	0	
0.614	-0.0311279	0.0235229	0	
0.616	-0.0183105	0.0234985	0	
0.618	-0.0396729	0.0234741	0	
0.62	-0.0317383	0.0231384	0	
0.622	-0.0366211	0.02276	0	
0.624	-0.032959	0.022583	0	
0.626	-0.0268555	0.0224121	0	
0.628	-0.0183105	0.0221924	0	
0.63	-0.0219727	0.022052	0	
0.632	-0.00732422	0.0220032	0	
0.634	-0.00305176	0.0217957	0	
0.636	0.00427246	0.0215942	0	
0.638	0.00671387	0.0213806	0	
0.64	0.00915527	0.0210083	0	
0.642	-0.0134277	0.0209106	0	
0.644	-0.0195312	0.0209656	0	
0.646	0.012207	0.0209534	0	
0.648	0.00305176	0.0207947	0	
0.65	0.00366211	0.0202637	0	
0.652	-0.010376	0.0199463	0	
0.654	-0.0421143	0.0202087	0	
0.656	-0.032959	0.0204529	0	
0.658	-0.0299072	0.0207031	0	
0.66	-0.00610352	0.0206543	0	
0.662	-0.0372314	0.0208801	0	
0.664	-0.043335	0.020929	0	
0.666	-0.0396729	0.0212036	0	
0.668	-0.0280762	0.0213745	0	
0.67	-0.0109863	0.0213684	0	
0.672	-0.0238037	0.0214294	0	
0.674	-0.0268555	0.0214478	0	
0.676	-0.0262451	0.0216187	0	
0.678	-0.0231934	0.0216614	0	
0.68	-0.00915527	0.0217529	0	
0.682	-0.00671387	0.0216919	0	
0.684	-0.00244141	0.0216736	0	
0.686	-0.0164795	0.021759	0	
0.688	-0.0152588	0.0217834	0	
0.69	-0.0177002	0.0217773	0	
0.692	-0.00854492	0.0218506	0	
0.694	-0.00549316	0.0216675	0	
0.696	-0.0213623	0.0217041	0	
0.698	-0.0195312	0.0217712	0	
0.7	-0.0189209	0.0217712	0	
0.702	-0.0158691	0.0215637	0	
0.704	-0.0164795	0.0215332	0	
0.706	-0.0189209	0.0216614	0	
0.708	-0.0152588	0.0215027	0	
0.71	-0.0115967	0.0213013	0	
0.712	-0.00488281	0.0212585	0	
0.714	-0.00732422	0.0212341	0	
0.716	-0.0158691	0.0210754	0	
0.718	-0.0109863	0.0208557	0	
0.72	0.00793457	0.0208801	0	
0.722	0.00427246	0.0207153	0	
0.724	-0.00549316	0.0204529	0	
0.726	0.0012207	0.0200745	0	
0.728	-0.0213623	0.0201904	0	
0.73	-0.00976562	0.0202148	0	
0.732	-0.00915527	0.0201904	0	
0.734	-0.00793457	0.0202209	0	
0.736	-0.010376	0.0200256	0	
0.738	-0.020752	0.0197021	0	
0.74	-0.00244141	0.0195679	0	
0.742	-0.00671387	0.019519	0	
0.744	-0.0164795	0.0194519	0	
0.746	-0.00915527	0.0191101	0	
0.748	-0.00732422	0.0186646	0	
0.75	0.00244141	0.0181763	0	
0.752	-0.00427246	0.0179749	0	
0.754	-0.0268555	0.0180542	0	
0.756	-0.00366211	0.0178711	0	
0.758	-0.0128174	0.0176514	0	
0.76	-0.0201416	0.0176697	0	
0.762	-0.0421143	0.017688	0	
0.764	-0.0250244	0.0178101	0	
0.766	-0.0396729	0.0179871	0	
0.768	-0.0311279	0.0180115	0	
0.77	-0.00671387	0.0179993	0	
0.772	-0.0146484	0.0178711	0	
0.774	-0.0512695	0.0182434	0	
0.776	-0.0213623	0.0182068	0	
0.778	-0.00244141	0.0182007	0	
0.78	-0.0189209	0.0180908	0	
0.782	-0.00305176	0.0178772	0	
0.784	-0.0140381	0.0177612	0	
0.786	-0.0164795	0.0177673	0	
0.788	-0.0146484	0.0176086	0	
0.79	-0.0408936	0.0176758	0	
0.792	-0.0213623	0.0175781	0	
0.794	-0.0164795	0.0175964	0	
0.796	-0.00671387	0.0174438	0	
0.798	-0.0134277	0.0172607	0	
0.8	-0.0152588	0.0171021	0	
0.802	0.00305176	0.016864	0	
0.804	-0.00305176	0.0168152	0	
0.806	-0.03479	0.0169128	0	
0.808	0.0012207	0.0168213	0	
0.81	-0.00427246	0.0167847	0	
0.812	-0.00854492	0.0166077	0	
0.814	-0.0170898	0.0164673	0	
0.816	-0.0292969	0.0165771	0	
0.818	-0.0390625	0.016571	0	
0.82	-0.0323486	0.0165771	0	
0.822	-0.0323486	0.0165344	0	
0.824	-0.0524902	0.0167297	0	
0.826	-0.0408936	0.0168701	0	
0.828	-0.0274658	0.0169617	0	
0.83	-0.0152588	0.0168945	0	
0.832	-0.0268555	0.0170898	0	
0.834	-0.00549316	0.0171143	0	
0.836	0.0128174	0.0171997	0	
0.838	0.0109863	0.0172424	0	
0.84	-0.0109863	0.0172607	0	
0.842	-0.00915527	0.017218	0	
0.844	-0.0195312	0.017218	0	
0.846	-0.0128174	0.0172241	0	
0.848	0.000610352	0.0171997	0	
0.85	-0.0299072	0.0174622	0	
0.852	-0.03479	0.0177063	0	
0.854	-0.010376	0.0173889	0	
0.856	-0.0524902	0.0175842	0	
0.858	-0.0305176	0.0175903	0	
0.86	-0.00488281	0.0175781	0	
0.862	-0.0158691	0.0173645	0	
0.864	-0.0299072	0.0172302	0	
0.866	-0.00549316	0.0168884	0	
0.868	0.0195312	0.016803	0	
0.87	0.0219727	0.0169128	0	
0.872	-0.043335	0.0171082	0	
0.874	-0.0134277	0.0169739	0	
0.876	0.0378418	0.0170898	0	
0.878	0.0158691	0.0170166	0	
0.88	-0.0500488	0.0174255	0	
0.882	-0.0500488	0.0178589	0	
0.884	-0.0170898	0.0180054	0	
0.886	0.000610352	0.0178467	0	
0.888	-0.0396729	0.0180908	0	
0.89	-0.0604248	0.0185181	0	
0.892	-0.0640869	0.0190735	0	
0.894	-0.0439453	0.019458	0	
0.896	-0.0189209	0.0194336	0	
0.898	-0.0164795	0.0194031	0	
0.9	-0.0256348	0.0194702	0	
0.902	-0.0335693	0.0196472	0	
0.904	-0.0189209	0.0196716	0	
0.906	-0.00427246	0.0195251	0	
0.908	-0.00549316	0.0194275	0	
0.91	0.0250244	0.0195618	0	
0.912	0.00854492	0.0195984	0	
0.914	0.0219727	0.0197449	0	
0.916	-0.0140381	0.0197266	0	
0.918	-0.0396729	0.0200134	0	
0.92	-0.0189209	0.0201233	0	
0.922	-0.00671387	0.0201477	0	
0.924	-0.0140381	0.0202332	0	
0.926	-0.0390625	0.0206116	0	
0.928	-0.0628662	0.0210266	0	
0.93	-0.0482178	0.0214111	0	
0.932	-0.0268555	0.0215881	0	
0.934	-0.0170898	0.0216797	0	
0.936	-0.00427246	0.0216187	0	
0.938	0.0177002	0.0215881	0	
0.94	0.0177002	0.0217407	0	
0.942	-0.00488281	0.0217224	0	
0.944	0.0219727	0.0217773	0	
0.946	0.00244141	0.0217102	0	
0.948	0.0109863	0.0217468	0	
0.95	-0.0445557	0.022168	0	
0.952	-0.0402832	0.0225281	0	
0.954	-0.0244141	0.0225037	0	
0.956	-0.0512695	0.0229797	0	
0.958	-0.0616455	0.023468	0	
0.96	-0.0506592	0.0237732	0	
0.962	-0.0457764	0.0238098	0	
0.964	-0.0372314	0.0239319	0	
0.966	-0.0250244	0.0237854	0	
0.968	-0.0195312	0.0236694	0	
0.97	-0.0195312	0.0237976	0	
0.972	-0.0134277	0.0237854	0	
0.974	-0.0164795	0.0234375	0	
0.976	-0.0231934	0.0234558	0	
0.978	-0.0250244	0.0236816	0	
0.98	-0.0384521	0.023877	0	
0.982	0.00488281	0.0238953	0	
0.984	-0.0274658	0.0240295	0	
0.986	-0.0292969	0.0241577	0	
0.988	-0.0115967	0.0241272	0	
0.99	-0.0305176	0.0240234	0	
0.992	-0.0134277	0.0239441	0	
0.994	0.00671387	0.0238464	0	
0.996	-0.00305176	0.0238098	0	
0.998	-0.0244141	0.0239197	0	
1	-0.0152588	0.0239197	0	
1.002	-0.012207	0.0240112	0	
1.004	-0.00305176	0.0240112	0	
1.006	-0.010376	0.0237671	0	
1.008	-0.0134277	0.0238892	0	
1.01	-0.0183105	0.0240295	0	
1.012	-0.0323486	0.0242676	0	
1.014	-0.0146484	0.0242432	0	
1.016	-0.00976562	0.0240479	0	
1.018	-0.0256348	0.0239136	0	
1.02	-0.0299072	0.0238892	0	
1.022	-0.0238037	0.0238037	0	
1.024	-0.00915527	0.0233704	0	
1.026	-0.0128174	0.0230896	0	
1.028	-0.0146484	0.0229614	0	
1.03	-0.010376	0.0229126	0	
1.032	-0.00793457	0.0227234	0	
1.034	-0.010376	0.0227722	0	
